titre_page_principale,prix_page_principale,Catégorie,Année/Modèle,Boîte de vitesse,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État
Jeep Wrangler Diesel Automatique 2021 à Casablanca,450000.0,"Voitures d'occasion, à vendre",2021.0,Automatique,Diesel,8000084999.0,Jeep,Wrangler,5,WW au Maroc,Oui,9 CV,Excellent
RangeRover HSE,160000.0,"Voitures d'occasion, à vendre",2013.0,Automatique,Diesel,170000179999.0,Land Rover,Range Rover Sport,5,Importée neuve,Oui,12 CV,Excellent
porsche cayenne turbo e hybrid,2350000.0,"Voitures d'occasion, à vendre",2024.0,Automatique,Hybride,3000034999.0,Porsche,Cayenne,5,Importée neuve,Oui,23 CV,Excellent
Mercedes glc 300de,160000.0,"Voitures d'occasion, à vendre",2025.0,Automatique,Diesel,4999.0,Mercedes-Benz,Classe GLC,5,Importée neuve,Oui,11 CV,Neuf
Audi Q8 Diesel,160000.0,"Voitures d'occasion, à vendre",2025.0,Automatique,Diesel,4999.0,Audi,Q8,5,Importée neuve,Non,11 CV,Neuf
Renault Clio 5 Diesel Manuelle 2022 à Oujda,165000.0,"Voitures d'occasion, à vendre",2022.0,Manuelle,Diesel,8500089999.0,Renault,Clio,5,WW au Maroc,6 CV,Excellent,Inconnu
Belle Voiture Rouge 2008 a louer,230.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Kia CEED automatique,160000.0,Inconnu,2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Range Rover disponible à Casablanca,160000.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
208 WW disponible à louer,160000.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Renault clio 5 a louer,160000.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Voitures de location à Martil,249.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Location de c3 citroen,160000.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Hyundai Tucson a louer,160000.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Mercedes-Benz class C220 cabriolet à Casablanca,160000.0,"Voitures d'occasion, à vendre",2019.0,Automatique,Diesel,120000129999.0,Mercedes-Benz,Classe C,5,Importée neuve,Oui,8 CV,Neuf
Picanto economique a louer,160000.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Mercedes-Benz Classe CLA Diesel Automatique 2022,160000.0,"Voitures d'occasion, à vendre",2022.0,Automatique,Diesel,140000149999.0,Mercedes-Benz,Classe CLA,5,WW au Maroc,Non,9 CV,Excellent
RENAULT MEGANE DIESEL AUTOMATIQUE2024 à Casablanca,345000.0,"Voitures d'occasion, à vendre",2024.0,Automatique,Electrique,1000014999.0,Renault,Megane,5,WW au Maroc,8 CV,Excellent,Inconnu
Porsche Cayenne V6,160000.0,"Voitures d'occasion, à vendre",2019.0,Automatique,Essence,8000084999.0,Porsche,Cayenne,5,Importée neuve,Oui,17 CV,Excellent
Citroen DS7 Rivoli,260000.0,"Voitures d'occasion, à vendre",2020.0,Automatique,Diesel,100000109999.0,DS,DS 7,5,WW au Maroc,Oui,8 CV,Excellent
"Priced at 185 dirhams, Dacia Logan",300.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Opel Astra Diesel Manuelle 2023 à Oujda,278000.0,"Voitures d'occasion, à vendre",2023.0,Manuelle,Diesel,5000054999.0,Opel,Astra,5,WW au Maroc,6 CV,Excellent,Inconnu
VW GOLF8 AKRAPOVIC 2024,550000.0,"Voitures d'occasion, à vendre",2024.0,Automatique,Essence,2000024999.0,Volkswagen,Golf 8,5,Importée neuve,Oui,12 CV,Excellent
Location de voiture à Casablanca,160000.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Kia Picanto manuelle,53000.0,"Voitures d'occasion, à vendre",2005.0,Manuelle,Essence,130000139999.0,Kia,Picanto,5,WW au Maroc,Non,6 CV,Très bon
Ford fiesta,160000.0,"Voitures d'occasion, à vendre",2021.0,Manuelle,Diesel,100000109999.0,Ford,Fiesta,5,WW au Maroc,Oui,6 CV,Très bon
kia,72000.0,"Voitures d'occasion, à vendre",2000.0,Manuelle,Essence,150000159999.0,Kia,Picanto,5,WW au Maroc,Non,5 CV,Excellent
Mercedes-Benz AMG Classe A berline,160000.0,"Voitures d'occasion, à vendre",2020.0,Automatique,Essence,8500089999.0,Mercedes-Benz,180,5,Dédouanée,Oui,6 CV,Excellent
Volkswagen Touareg Diesel Automatique 2022 à Oujda,430000.0,"Voitures d'occasion, à vendre",2022.0,Automatique,Diesel,120000129999.0,Volkswagen,Touareg,5,WW au Maroc,12 CV,Excellent,Inconnu
Range Rover Evoque,200000.0,"Voitures d'occasion, à vendre",2015.0,Automatique,Diesel,140000149999.0,Land Rover,Range Rover,5,WW au Maroc,Non,9 CV,Excellent
luxury car,160000.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Voiture Verte pour location a oujda,450.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Ford fiesta  pour location,199.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Dacia Duster automatique nouveau,399.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Location de voitures Aéroport Rabat Salé,199.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Location des voitures,160000.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Volkswagen Golf 6 Diesel Automatique 2010,105000.0,"Voitures d'occasion, à vendre",2010.0,Automatique,Diesel,3000034999.0,Volkswagen,Golf 6,5,Dédouanée,Non,8 CV,Très bon
Location voitures à Marrakech aéroport,230.0,"Voitures de location, à louer",2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
fiat fiorino,125000.0,Inconnu,2020.0,Inconnu,Inconnu,8750092499.0,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu,Inconnu
Renault Captur Diesel Manuelle 2022 à Rabat,188000.0,"Voitures d'occasion, à vendre",2022.0,Manuelle,Diesel,8000084999.0,Renault,Captur,5,WW au Maroc,Oui,6 CV,Excellent
Toyota avensis Diesel 1 er main ✋️,69000.0,"Voitures d'occasion, à vendre",2007.0,Manuelle,Diesel,250000299999.0,Toyota,Avensis,5,WW au Maroc,Oui,8 CV,Excellent
